(United_States_09d4,0.0017583870869951957)
(2006,0.0015944471746693898)
(United_Kingdom_5ad7,8.38232415557303E-4)
(2005,7.28757243045008E-4)
(England,5.4577785905865E-4)
(Canada,5.406588477511613E-4)
(Biography,5.160323296571299E-4)
(France,5.075105506516871E-4)
(2004,5.019726387546145E-4)
(Australia,4.463030517788964E-4)
(Germany,4.449950275223221E-4)
(Geographic_coordinate_system,4.113630006888496E-4)
(2003,4.0652176346902E-4)
(Japan,3.8708118463825814E-4)
(India,3.8179950989074995E-4)
(Italy,3.2751058432609775E-4)
(Internet_Movie_Database_7ea7,3.2164701156078265E-4)
(2002,3.1954329307545766E-4)
(2001,3.19528217002644E-4)
(2000,3.008858825146121E-4)
(Europe,2.99335121376116E-4)
(World_War_II_d045,2.9463632366939053E-4)
(London,2.8709506547333185E-4)
(English_language,2.734007555404921E-4)
(Population_density,2.710973464560798E-4)
(Record_label,2.701335491879478E-4)
(1999,2.667648409653216E-4)
(Race_(United_States_Census)_a07d,2.573184900815137E-4)
(Russia,2.523237321465948E-4)
(Spain,2.4790707343463626E-4)
(Wiktionary,2.394880467659389E-4)
(Wikimedia_Commons_7b57,2.3770478694281304E-4)
(1998,2.3233315295798722E-4)
(Music_genre,2.2593160410099328E-4)
(1997,2.2337855742759493E-4)
(New_York_City_1428,2.221209949490884E-4)
(Scotland,2.1993703937014995E-4)
(1996,2.0984527360148002E-4)
(Television,2.0331850119371014E-4)
(Square_mile,2.00386583005752E-4)
(Census,1.991849224839886E-4)
(1995,1.9798297916802355E-4)
(California,1.953192724950315E-4)
(China,1.923427473370174E-4)
(Netherlands,1.9026547369265716E-4)
(New_Zealand_2311,1.8918432033161942E-4)
(1994,1.8884892435182843E-4)
(Football_(soccer),1.8795722673913915E-4)
(Sweden,1.845665974918105E-4)
(1991,1.8008927041815508E-4)
(1993,1.7794401937230796E-4)
(New_York_3da4,1.7610163004348487E-4)
(1990,1.7588356928798548E-4)
(United_States_Census_Bureau_2c85,1.7176765280172836E-4)
(1992,1.707498278090909E-4)
(Public_domain,1.6852061405855077E-4)
(Film,1.675738048143141E-4)
(Scientific_classification,1.667793873822649E-4)
(Actor,1.6453178596992105E-4)
(Ireland,1.6235978146063383E-4)
(1989,1.602771248930395E-4)
(Population,1.579435291025421E-4)
(January_1,1.5758511068975114E-4)
(Latin,1.5722697135403567E-4)
(1980,1.5660177557624304E-4)
(Marriage,1.5613706528832188E-4)
(1986,1.5244591139478405E-4)
(1979,1.4865883205491588E-4)
(1985,1.485263436503229E-4)
(1982,1.480582970586484E-4)
(1981,1.479697539913511E-4)
(French_language,1.4724870248239826E-4)
(Per_capita_income,1.4719439879888155E-4)
(1974,1.4713978610504118E-4)
(Norway,1.4627381953357394E-4)
(1984,1.4520744737140132E-4)
(1987,1.4509452667291444E-4)
(1983,1.4491557468915734E-4)
(South_Africa_1287,1.4455185979628908E-4)
(1970,1.4332708012073942E-4)
(Mexico,1.4323609936096903E-4)
(Record_producer,1.4253226093477008E-4)
(Album,1.4223349137543334E-4)
(1988,1.4154445839791632E-4)
(1976,1.413746397192425E-4)
(Poland,1.412004145280989E-4)
(Switzerland,1.4008942564950306E-4)
(1975,1.397782712284811E-4)
(Km²,1.3907880088005127E-4)
(1969,1.3858587006563536E-4)
(1972,1.373359656958064E-4)
(1945,1.3717656702476422E-4)
(Soviet_Union_ad1f,1.3631669137564953E-4)
(Politician,1.3602441106995523E-4)
(1977,1.3587317839273356E-4)
(Greece,1.355673967290909E-4)
(1978,1.3484836647710037E-4)
(Brazil,1.347880438207834E-4)
(Poverty_line,1.343330468251109E-4)
(1973,1.3335214613745199E-4)
