United_States_09d4	0.0010279860187608954
2006	9.479427740076897E-4
United_Kingdom_5ad7	5.247855474966013E-4
2005	4.419089548708686E-4
Biography	3.761496655078716E-4
France	3.3799927065331585E-4
England	3.3679070434677443E-4
Canada	3.2222247361135434E-4
2004	3.116759046277542E-4
Encyclopædia_Britannica_Eleventh_Edition_8e5e	3.0220260529691606E-4
Germany	2.9378745743555406E-4
Australia	2.686776358291673E-4
India	2.5206745773757226E-4
2003	2.4674720733036746E-4
Km²	2.4661766229137807E-4
United_States_Census	2.3668768076431985E-4
Japan	2.3637337743324653E-4
Los_Angeles	2.2837923337397855E-4
_California_b493	2.238113627767767E-4
Geographic_coordinate_system	2.1540507033727615E-4
_D.C._323f	2.144123986492433E-4
United_Kingdom_general_election	2.111360523690077E-4
Italy	2.0914536016384053E-4
Internet_Movie_Database_7ea7	2.0532602212139026E-4
2002	2.0161636097251734E-4
2001	1.988052039172225E-4
Europe	1.963152271906992E-4
London	1.8572680463963033E-4
World_War_II_d045	1.8126126317880833E-4
2000	1.7936250403006461E-4
Record_label	1.7677443024407692E-4
_2004	1.7508354371180494E-4
English_language	1.7148491932864445E-4
University_of_California	1.6906793284030854E-4
1999	1.6865448164254742E-4
Spain	1.6762820495588645E-4
Wiktionary	1.6517587122415647E-4
Russia	1.5909649414938128E-4
Département_in_France_e00c	1.4938219600062194E-4
Music_genre	1.488227568223986E-4
_2005	1.475474804381259E-4
Wikimedia_Commons_7b57	1.4672345338696767E-4
Côte_d'Ivoire_ed5b	1.4663438696880534E-4
1998	1.4607400278309778E-4
Football_(soccer)	1.4028825608996339E-4
1997	1.3884249466926038E-4
Scotland	1.3493324290704564E-4
Television	1.315014006105302E-4
Sweden	1.3105610168534583E-4
_2006	1.298140655341638E-4
1996	1.2924126652725406E-4
New_York_City_1428	1.2697017266894247E-4
U.S._presidential_election	1.2531253500500672E-4
1995	1.2295162022195148E-4
China	1.2150928746740511E-4
_Massachusetts_d688	1.2142239345840578E-4
Netherlands	1.1855500450915757E-4
1994	1.1731052892234571E-4
New_Zealand_2311	1.1567700741738518E-4
_Pennsylvania_7d25	1.1284225055960716E-4
_2003	1.1226827717530464E-4
1991	1.118395703845326E-4
Public_domain	1.118161745484435E-4
Scientific_classification	1.1166246436038564E-4
1993	1.1104753090033526E-4
California	1.0900579468253738E-4
1990	1.0887867506175356E-4
Film	1.0878657272203412E-4
Actor	1.0789363089471828E-4
1992	1.0641885196308314E-4
Poland	1.0493224750001418E-4
Population_density	1.0381711031770996E-4
Norway	1.0377382016162713E-4
San_Francisco	1.0374414760143086E-4
_Illinois_2106	1.0318946355277588E-4
Ireland	1.0174629178576052E-4
_California_b6e2	9.970152710163918E-5
1989	9.969599510924079E-5
Latin	9.930257263459967E-5
Brazil	9.812521277295592E-5
1980	9.627844503787853E-5
January_1	9.569366758303565E-5
Album	9.548010398633883E-5
1986	9.460631912931416E-5
Politician	9.432600157182427E-5
New_York_3da4	9.4313002166003E-5
Record_producer	9.359504404457276E-5
Mexico	9.349478501895666E-5
French_language	9.290341560691247E-5
_DC_48ce	9.251926822035532E-5
1985	9.24675676420264E-5
1982	9.204908956218216E-5
1979	9.178994258763709E-5
_Georgia_4e3e	9.160398235191414E-5
1981	9.156340364535536E-5
Paris	9.15402735098818E-5
St._Louis	9.051148908897998E-5
1984	9.03330979175941E-5
1987	9.000481843155942E-5
1983	9.00018646975797E-5
