United_States_09d4	0.0028721740762318137
2006	0.0025683611349989898
United_Kingdom_5ad7	0.0013657282202906161
2005	0.0011843661457172374
Biography	9.423390704185306E-4
Canada	8.930099291571345E-4
England	8.873191305830984E-4
France	8.778280739141111E-4
2004	8.249109077340098E-4
Germany	7.542555937001934E-4
Australia	7.305609453282984E-4
Geographic_coordinate_system	7.157694816622438E-4
2003	6.6439379320624E-4
India	6.44024463050385E-4
Japan	6.383208619630372E-4
Italy	5.357769048278127E-4
2001	5.334286958661272E-4
2002	5.273763528337615E-4
Internet_Movie_Database_7ea7	5.222377544044592E-4
Europe	5.07942696507908E-4
2000	4.992029957034937E-4
World_War_II_d045	4.812308205947173E-4
London	4.645028941413261E-4
Population_density	4.474926092254699E-4
Record_label	4.422391591128756E-4
1999	4.4122837006049895E-4
English_language	4.381064231169587E-4
Spain	4.3796005483551865E-4
Russia	4.1325156548653765E-4
Race_(United_States_Census)_a07d	4.103324004665E-4
Wiktionary	4.0379380500119515E-4
Wikimedia_Commons_7b57	3.8442270466348906E-4
1998	3.8140007768704625E-4
Music_genre	3.724594621671542E-4
1997	3.638236853687485E-4
Scotland	3.580582171498726E-4
New_York_City_1428	3.576359999439566E-4
Football_(soccer)	3.490880289331022E-4
1996	3.4132933056624503E-4
Sweden	3.365027297845802E-4
Television	3.358401454865275E-4
Square_mile	3.2403425949388624E-4
Census	3.2335869475428035E-4
1995	3.215478466214148E-4
California	3.1882470661153415E-4
China	3.1473064420436286E-4
Netherlands	3.0995437235862395E-4
New_Zealand_2311	3.089401554313044E-4
1994	3.0691674824203947E-4
1991	2.9283187340099797E-4
1993	2.9021699648110096E-4
1990	2.8845250795351407E-4
New_York_3da4	2.8660178435756896E-4
Public_domain	2.86441633274951E-4
1992	2.781496424426107E-4
United_States_Census_Bureau_2c85	2.760919763427364E-4
Film	2.7575495733158105E-4
Actor	2.737849673431083E-4
Scientific_classification	2.733013194458721E-4
Norway	2.7118442987387174E-4
Ireland	2.6952673703111097E-4
Population	2.6782265665151135E-4
Poland	2.6733092685873E-4
1989	2.608200808956598E-4
1980	2.5478254062360605E-4
January_1	2.5449701523501373E-4
Marriage	2.531363095868134E-4
Brazil	2.5274105563673194E-4
Mexico	2.5107786773428985E-4
Latin	2.5081524535322324E-4
Politician	2.492144219197558E-4
1986	2.478421469322863E-4
1985	2.4176677201302138E-4
1979	2.4149827286779052E-4
1982	2.408730347972165E-4
1981	2.4065534009302136E-4
French_language	2.4061888960462798E-4
Per_capita_income	2.3879989157835207E-4
1974	2.3840654065887832E-4
Album	2.3746239683104223E-4
Switzerland	2.364760799563359E-4
1984	2.361937227162568E-4
1987	2.3598974047920988E-4
South_Africa_1287	2.3595859775454766E-4
1983	2.359115444749447E-4
Record_producer	2.338866084390173E-4
1970	2.3213474352844262E-4
1988	2.3058643259443468E-4
1976	2.294490553754084E-4
Km²	2.27065912238393E-4
1975	2.2679581218519777E-4
Paris	2.2383111838854812E-4
1969	2.2364602286097446E-4
Greece	2.2331778654286876E-4
1945	2.2247191445713436E-4
1972	2.2221152520119042E-4
Personal_name	2.2122812547045137E-4
1977	2.2040222423978342E-4
Soviet_Union_ad1f	2.195746250888832E-4
1978	2.193481799230175E-4
